R,neta,mot,rgo,hniv,aliU,aliM,dob,i
2.0,1.6728437428504992,TP,4.3709999999985705,16,False,False,True,EURUSD
-1.0,-1.1962937542896606,SL,7.284999999999098,20,False,False,True,EURUSD
-1.0,-1.7440166493232856,SL,1.9220000000008675,23,False,False,True,EURUSD
2.0,1.4086021505375335,TP,2.417999999999587,16,False,False,True,EURUSD
-1.0,-1.5491551459294692,SL,2.6039999999993846,23,False,True,False,EURUSD
2.0,1.5477545857053925,TP,3.1620000000009973,23,True,False,True,EURUSD
-1.0,-1.3367082646572732,SL,4.247000000001666,23,False,False,False,EURUSD
2.0,1.5728793309439484,TP,3.348000000000795,16,True,False,True,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,16,False,False,True,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,1,False,False,False,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,23,False,False,True,EURUSD
2.0,1.6657316503038633,TP,4.277999999999782,17,False,False,False,EURUSD
-1.0,-1.3225806451613455,SL,4.432999999999243,1,False,False,True,EURUSD
2.0,1.4758064516130434,TP,2.72800000000073,17,True,False,True,EURUSD
-1.0,-1.242784380305623,SL,5.889999999999507,15,True,False,True,EURUSD
-1.0,-1.1898314084694122,SL,7.532999999999568,22,False,False,True,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,17,False,True,True,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,15,False,True,True,EURUSD
-1.0,-1.3603830645162527,SL,3.9679999999986393,8,True,False,True,EURUSD
-1.0,-1.2745775729647346,SL,5.207999999998769,15,False,False,True,EURUSD
2.0,1.8259281801582536,TP,8.215000000000305,15,False,False,False,EURUSD
-1.0,-1.242784380305623,SL,5.889999999999507,17,False,False,False,EURUSD
2.0,1.730239577438208,TP,5.300999999999778,17,False,True,True,EURUSD
2.0,1.7646477946017707,TP,6.076000000001525,23,True,False,True,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,19,False,False,True,EURUSD
-1.0,-1.2681920480119973,SL,5.332000000000114,19,False,False,True,EURUSD
-1.0,-1.501402524544205,SL,2.8519999999998547,19,False,False,False,EURUSD
2.0,1.709880300263756,TP,4.929000000000183,17,False,True,True,EURUSD
-1.0,-1.1226835964310238,SL,11.655999999999889,20,False,False,False,EURUSD
-1.0,-1.1946372669116707,SL,7.34699999999977,20,False,False,True,EURUSD
-1.0,-1.2762217500482556,SL,5.177000000000653,16,False,True,True,EURUSD
-1.0,-1.0796701766115036,SL,17.949000000001547,16,False,False,False,EURUSD
-1.0,-1.1223581757508319,SL,11.687000000000225,10,True,False,True,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,10,False,False,False,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,23,False,False,True,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,23,False,False,True,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,10,True,False,True,EURUSD
