instr,entrada,slf,rr,phi,n,nres,tp,sl,ctr,wr,wrr,base,z,perd,gana,Rbruto,Rneto,usd,pest,pdin,pes0,pdi0,dias
NASDAQ,A,0.25,1:1,0.2,1691,1616,53.92000000000007,53.92000000000007,4,0.4937906564163217,0.49257425742574257,0.5,-0.597022314125994,431.3600000000006,431.3600000000006,-0.013323942253192418,-0.03557913513153068,-15.347415730337094,0.3032,0.2181,0.3601,0.2624,27.0
NASDAQ,A,0.25,1:1,0.5,1691,1616,53.92000000000007,53.92000000000007,9,0.4937906564163217,0.49257425742574257,0.5,-0.597022314125994,970.5600000000013,970.5600000000013,-0.013323942253192418,-0.03557913513153068,-34.53168539325846,0.341,0.2662,0.3952,0.3128,7.0
NASDAQ,A,0.25,1:1,1.0,1691,1616,53.92000000000007,53.92000000000007,19,0.4937906564163217,0.49257425742574257,0.5,-0.597022314125994,2048.9600000000028,2048.9600000000028,-0.013323942253192418,-0.03557913513153068,-72.90022471910127,0.2293,0.183,0.2334,0.1911,4.0
NASDAQ,A,0.25,1:3,0.2,1691,1673,17.973333333333358,53.92000000000007,4,0.7421643997634536,0.7477585176329946,0.75,-0.21173012856017423,431.3600000000006,143.78666666666686,-0.0056070758615606635,-0.02786226873989892,-12.018668243642814,0.1624,0.1275,0.304,0.2301,73.0
NASDAQ,A,0.25,1:3,0.5,1691,1673,17.973333333333358,53.92000000000007,9,0.7421643997634536,0.7477585176329946,0.75,-0.21173012856017423,970.5600000000013,323.52000000000044,-0.0056070758615606635,-0.02786226873989892,-27.04200354819629,0.3246,0.2412,0.4139,0.304,18.0
NASDAQ,A,0.25,1:3,1.0,1691,1673,17.973333333333358,53.92000000000007,19,0.7421643997634536,0.7477585176329946,0.75,-0.21173012856017423,2048.9600000000028,682.9866666666676,-0.0056070758615606635,-0.02786226873989892,-57.08867415730336,0.383,0.2863,0.4029,0.2874,4.0
NASDAQ,A,0.25,1:10,0.2,1691,1687,5.3920000000000075,53.92000000000007,4,0.9024246008279124,0.9045643153526971,0.9090909090909091,-0.6467281201639384,431.3600000000006,43.13600000000006,-0.005485698856048852,-0.027740891734387124,-11.966311058545246,0.003,0.0026,0.066,0.0631,143.5
NASDAQ,A,0.25,1:10,0.5,1691,1687,5.3920000000000075,53.92000000000007,9,0.9024246008279124,0.9045643153526971,0.9090909090909091,-0.6467281201639384,970.5600000000013,97.05600000000014,-0.005485698856048852,-0.027740891734387124,-26.924199881726796,0.0993,0.0873,0.3434,0.2614,68.0
NASDAQ,A,0.25,1:10,1.0,1691,1687,5.3920000000000075,53.92000000000007,19,0.9024246008279124,0.9045643153526971,0.9090909090909091,-0.6467281201639384,2048.9600000000028,204.89600000000027,-0.005485698856048852,-0.027740891734387124,-56.83997752808989,0.2666,0.1694,0.4245,0.2618,18.0
NASDAQ,A,0.25,1:30,0.2,1691,1689,1.7973333333333357,53.92000000000007,4,0.9538734476641041,0.9550029603315572,0.967741935483871,-2.9631277912840264,431.3600000000006,14.378666666666685,-0.013410270876069936,-0.03566546375440817,-15.384654445101528,0.0,0.0,0.0,0.0,
