ts,salida_ts,dir,entrada,sl,tp,riesgo_pips,motivo,pips,R
2020-01-03 09:48:00,2020-01-03 10:03:00,largo,8753.29,8742.68,8763.900000000001,10.610000000000582,TP,9.110000000000582,0.8586239396795553
2020-01-03 19:45:00,2020-01-03 19:55:00,corto,8815.44,8823.79,8807.09,8.350000000000364,SL,-9.850000000000364,-1.1796407185628663
2020-01-06 08:54:00,2020-01-06 09:30:00,largo,8716.86,8707.9,8725.820000000002,8.960000000000946,SL,-10.460000000000946,-1.1674107142856966
2020-01-06 14:39:00,2020-01-06 15:19:00,largo,8752.96,8711.49,8794.429999999998,41.469999999999345,TP,39.969999999999345,0.9638292741741011
2020-01-06 16:42:00,2020-01-06 16:53:00,corto,8813.52,8821.11,8805.93,7.5900000000001455,TP,6.0900000000001455,0.8023715415019801
2020-01-07 04:09:00,2020-01-07 04:20:00,corto,8855.34,8857.6,8853.08,2.2600000000002183,SL,-3.7600000000002183,-1.663716814159228
2020-01-07 07:51:00,2020-01-07 08:12:00,corto,8847.41,8864.39,8830.43,16.979999999999563,SL,-18.479999999999563,-1.0883392226148432
2020-01-07 12:15:00,2020-01-07 12:29:00,corto,8852.78,8857.33,8848.230000000001,4.549999999999272,SL,-6.049999999999272,-1.3296703296703825
2020-01-07 14:36:00,2020-01-07 15:58:00,corto,8837.92,8860.59,8815.25,22.670000000000073,SL,-24.170000000000073,-1.0661667401852666
2020-01-08 15:21:00,2020-01-08 15:42:00,corto,8870.86,8881.97,8859.750000000002,11.109999999998763,TP,9.609999999998763,0.86498649864985
2020-01-09 17:57:00,2020-01-09 21:05:00,largo,8963.68,8935.19,8992.17,28.48999999999978,TP,26.98999999999978,0.9473499473499469
2020-01-10 17:36:00,2020-01-10 20:07:00,largo,8990.17,8971.88,9008.460000000001,18.290000000000873,SL,-19.790000000000873,-1.0820120284308326
2020-01-14 05:30:00,2020-01-14 05:37:00,corto,9072.63,9077.21,9068.05,4.579999999999927,TP,3.0799999999999272,0.6724890829694271
2020-01-14 05:45:00,2020-01-14 07:20:00,corto,9070.29,9077.21,9063.370000000003,6.919999999998254,TP,5.419999999998254,0.7832369942195985
2020-01-14 07:33:00,2020-01-14 08:14:00,corto,9060.91,9074.9,9046.92,13.989999999999782,TP,12.489999999999782,0.8927805575410991
