R,neta,rgo,lado,gana,fvg,pos,anio
-1.0,-1.6647278770253908,2.406999999999826,-1,False,True,0.8406708595387875,2020
-1.0,-1.1362281822051847,11.745000000000783,-1,False,True,0.833080424886197,2020
2.4482758620697855,2.030303030303747,3.8279999999990544,-1,True,True,0.9069296914517018,2020
-1.0,-1.2744896208612386,5.828999999999418,1,False,True,0.407269338303819,2020
2.4482758620689324,2.3106887952532094,11.628999999999667,1,True,True,0.07615427927927809,2020
-1.0,-1.0604960677555983,26.447999999998917,1,False,True,0.021125265392780625,2020
-1.0,-1.2530844669408974,6.3219999999986065,1,False,True,0.2638850511190926,2020
-1.0,-1.2744896208612386,5.828999999999418,1,False,True,0.30405611466910865,2020
-1.0,-1.172954275213509,9.25099999999901,1,False,True,-0.04741833508956665,2020
2.4482758620688823,2.3786137234412292,22.968000000000988,1,True,True,0.09841459766676662,2020
-1.0,-1.1697612732095368,9.425000000000683,1,False,True,0.21141045958795437,2020
-1.0,-1.112827022071788,14.180999999999777,-1,False,True,0.502233250620351,2020
-1.0,-1.12981744421907,12.324999999999697,-1,False,True,0.9604560892770495,2020
-1.0,-1.0990528075280075,16.153000000000972,-1,False,True,0.8229420360448102,2020
2.4482758620687988,2.243173952057278,7.801000000000613,1,True,True,0.3226824457593633,2020
-1.0,-1.1139925904816228,14.035999999999493,-1,False,True,0.5565097904500209,2020
-1.0,-1.1176384089405116,13.601000000000862,-1,False,True,0.5444864307798021,2020
2.4482758620686975,2.168212847890533,5.713000000000523,-1,True,True,0.8424705065926448,2020
-1.0,-1.324543610547617,4.930000000000767,-1,False,True,0.8816793893129727,2020
2.4482758620686056,2.090013434840721,4.466000000000747,-1,True,True,0.998607242339834,2020
2.448275862068321,2.013847407004631,3.683000000000991,-1,True,True,0.9125730994152033,2020
-1.0,-1.0925711640823903,17.283999999999633,1,False,True,0.2783157894736851,2020
-1.0,-1.1173881144534112,13.630000000000031,1,False,True,0.2509473684210518,2020
-1.0,-1.195646857422331,8.178000000000907,1,False,True,0.34977264777894257,2020
-1.0,-1.1029336078229497,15.544000000000668,-1,False,True,0.9217563552327505,2020
2.448275862068863,2.33590842053505,14.239000000000335,-1,True,True,0.9752393529217627,2020
-1.0,-1.2298850574712545,6.960000000000299,-1,False,True,0.9572397522854565,2020
