dia,cierre_min,crt_h4_cer,crt_h4_viva,pos_h4,crt_m15,crt_m15_viva
2020-01-15,480,0,0,0.8928571428572278,0,0
2020-01-15,485,0,0,0.952380952380902,0,0
2020-01-15,490,0,-1,0.7499999999999339,0,-1
2020-01-15,495,0,-1,0.7499999999999339,0,-1
2020-01-15,500,0,-1,0.8452380952381299,-1,0
2020-01-15,505,0,-1,0.8809523809523873,-1,0
2020-01-15,510,0,-1,0.8214285714287131,-1,0
2020-01-15,515,0,-1,0.5000000000001321,0,0
2020-01-15,520,0,-1,0.25000000000006606,0,0
2020-01-15,525,0,-1,0.15476190476187016,0,0
2020-01-15,530,0,-1,0.2142857142858087,0,1
2020-01-15,535,0,0,0.11904761904761275,0,0
2020-01-15,540,0,0,0.04761904761909797,0,0
2020-01-15,545,0,0,-0.3452380952379977,0,0
2020-01-15,550,0,0,-0.42857142857135305,0,0
2020-01-15,555,0,0,-0.7023809523811003,0,0
2020-01-15,560,0,0,-0.7023809523811003,0,1
2020-01-15,565,0,0,-0.7261904761905171,0,0
2020-01-15,570,0,0,-0.5833333333334876,0,1
2020-01-15,575,0,0,-0.6666666666668429,1,-1
2020-01-15,580,0,0,-0.4166666666667768,1,0
2020-01-15,585,0,0,-0.5952380952380638,1,-1
2020-01-15,590,0,0,-0.2976190476191641,-1,0
2020-01-15,595,0,0,-0.023809523809416814,-1,0
2020-01-15,600,0,1,0.25000000000006606,-1,0
2020-01-15,605,0,0,0.035714285714257395,0,0
2020-01-15,610,0,0,0.04761904761909797,0,0
2020-01-15,615,0,1,0.2380952380952255,0,-1
2020-01-15,620,0,0,0.10714285714277218,-1,0
2020-01-15,625,0,1,0.2857142857143235,-1,0
2020-01-15,630,0,1,0.476190476190451,-1,0
2020-01-15,635,0,1,0.15476190476187016,0,0
2020-01-15,640,0,1,0.5952380952380638,0,0
2020-01-15,645,0,1,0.523809523809549,0,0
2020-01-15,650,0,1,0.3452380952379977,0,0
2020-01-15,655,0,1,0.14285714285702958,0,0
2020-01-15,660,0,0,0.023809523809416814,0,0
2020-01-15,665,0,0,-0.26190476190490664,0,0
2020-01-15,670,0,0,-0.19047619047612754,0,0
2020-01-15,675,0,0,-0.3095238095237403,0,0
2020-01-15,680,0,0,0.07142857142851479,0,0
