fam,N,S,per,etiq,n,R,t,sharpe,lo,hi,tb
A,5,1.0,ajuste,real,812,-0.005893624848587499,-0.24858693706371837,-0.1384843060333341,-0.05709985417117054,0.045642705344784214,-0.2214384058231985
A,5,1.0,fuera,real,536,-0.0035938003931633993,-0.12865318981587284,-0.08821418662505724,-0.04042180529254689,0.04821725321198794,-0.16240675663106988
A,5,2.0,ajuste,real,812,-0.0045523989714169105,-0.37245189745557744,-0.20748774315809432,-0.02993734881368987,0.022518132146419022,-0.3408064825444339
A,5,2.0,fuera,real,536,-0.011643397942636574,-0.7695642497959232,-0.527670432801769,-0.03266977176405846,0.014420780938476957,-0.96791393068216
A,5,3.0,ajuste,real,812,-0.00265995325634313,-0.3275182474381762,-0.18245583515156247,-0.020051449201283263,0.015616737582962349,-0.2948636715043393
A,5,3.0,fuera,real,536,-0.010026731879446705,-0.9572180230712942,-0.6563398035363871,-0.02353979070598449,0.006182695769393608,-1.3131015860470912
A,5,5.0,ajuste,real,812,-0.0015959719538058779,-0.3275182474381762,-0.18245583515156247,-0.01181820870446231,0.008905570521979959,-0.3014232878088587
A,5,5.0,fuera,real,536,-0.005933654140876639,-0.9450598178073512,-0.6480032345813989,-0.013936054357910732,0.00396291156501198,-1.2976263411404825
A,10,1.0,ajuste,real,812,0.02203460689738415,0.9353928908562725,0.521094297587897,-0.015355065907040815,0.06354318032200638,1.0923173114112525
A,10,1.0,fuera,real,536,0.0051318564837727785,0.17997604173304468,0.12340494748867166,-0.0256096205996489,0.04166905206228054,0.3004280174746943
A,10,2.0,ajuste,real,812,0.009308574334808861,0.7637625934487449,0.4254814592323406,-0.007745281816359345,0.029912164505870645,0.9675631461158796
A,10,2.0,fuera,real,536,-0.003494582274360604,-0.22992150996696764,-0.15765127175135668,-0.021496123605181876,0.015232830994087275,-0.37582267570095573
A,10,3.0,ajuste,real,812,0.006444128633622528,0.7943417458161017,0.4425166773524124,-0.004367931916729886,0.020852211151947353,0.9953986489641168
A,10,3.0,fuera,real,536,-0.004671953576773991,-0.44359180817664845,-0.30415950516147705,-0.017925430968125676,0.008390605142649726,-0.6822651658014497
A,10,5.0,ajuste,real,812,0.003866477180173514,0.7943417458161011,0.442516677352412,-0.0028072196792179385,0.011992840604457747,1.021370253980948
A,10,5.0,fuera,real,536,-0.0025221984507129225,-0.40124579552642753,-0.2751239323311426,-0.010742298334513494,0.0052981637666629925,-0.6084698918416217
A,20,1.0,ajuste,real,812,0.010581945517552994,0.4471057341707649,0.24907635152321775,-0.0432616081090714,0.05467408575356244,0.4145405892353662
A,20,1.0,fuera,real,536,0.0009006313429681075,0.03007734523331966,0.020623262815291553,-0.05654618799685718,0.05357922237215025,0.03301745958903322
A,20,2.0,ajuste,real,812,0.0050660624638731834,0.4149243503400785,0.23114855266288328,-0.022592288843914177,0.026005872278719935,0.4063853474974395
A,20,2.0,fuera,real,536,-0.0015935498706166782,-0.10255696772204517,-0.07032067765502287,-0.03300388133146202,0.022925428444314028,-0.11252900003985342
A,20,3.0,ajuste,real,812,0.0037318090085803027,0.45991932006661607,0.25621462102179005,-0.014866358336507738,0.017451695438572463,0.45822010293057475
A,20,3.0,fuera,real,536,-0.0015257420405544193,-0.1456772896430251,-0.09988717445711431,-0.02159262250840859,0.014629650412381604,-0.16537005524144305
A,20,5.0,ajuste,real,812,0.0022390854051481815,0.459919320066616,0.25621462102179005,-0.008441163935971396,0.010739972200687774,0.45479918352031484
